Pet is Dog Boolen,Pet is Cat Boolen,YEAR,NEIGHBOURHOOD,NEIGHBOURHOOD_ID,Pet Type,Number of Pets
4,0,2018,Hollick-Kenyon,2340,Dog,4
0,14,2020,Clareview Town Centre,2145,Cat,14
39,0,2020,Caernarvon,3060,Dog,39
3,0,2018,Beverly Heights,2100,Dog,3
0,10,2020,Brookside,5090,Cat,10
0,19,2019,Hawks Ridge,4473,Cat,19
0,45,2019,Bergman,2090,Cat,45
0,104,2019,Eastwood,1100,Cat,104
0,8,2020,Paisley,5469,Cat,8
1,0,2019,McIntyre Industrial,6430,Dog,1
0,50,2020,Cumberland,3150,Cat,50
186,0,2019,Crestwood,3140,Dog,186
0,124,2019,Lago Lindo,2450,Cat,124
0,79,2019,Belle Rive,2050,Cat,79
151,0,2019,Crystallina Nera West,2463,Dog,151
0,143,2019,Montrose,2550,Cat,143
0,43,2020,Strathearn,6710,Cat,43
0,8,2020,Bellevue,2060,Cat,8
0,155,2019,Kilkenny,2410,Cat,155
0,3,2019,Aster,6445,Cat,3
0,2,2018,Mayfield,4290,Cat,2
0,82,2019,Gariepy,4160,Cat,82
0,1,2018,Aldergrove,4020,Cat,1
0,27,2020,Greenview,6280,Cat,27
1,0,2018,Duggan,5160,Dog,1
1,0,2020,Wilson Industrial,4640,Dog,1
1,0,2019,McNamara Industrial,4300,Dog,1
124,0,2019,Kameyosek,6340,Dog,124
28,0,2020,Eaux Claires,2241,Dog,28
36,0,2020,Keswick Area,5576,Dog,36
0,31,2019,Dechene,4110,Cat,31
287,0,2019,Griesbach,3111,Dog,287
0,57,2019,Tamarack,6443,Cat,57
0,78,2019,Eaux Claires,2241,Cat,78
0,46,2020,Crawford Plains,6140,Cat,46
190,0,2019,Oxford,3320,Dog,190
0,2,2020,River Valley Laurier,3382,Cat,2
182,0,2019,Maple Ridge,6410,Dog,182
0,3,2018,Gold Bar,6270,Cat,3
98,0,2019,Prince Charles,3350,Dog,98
0,110,2019,Duggan,5160,Cat,110
0,8,2020,Ogilvie Ridge,5300,Cat,8
0,1,2018,Canossa,3080,Cat,1
32,0,2020,Elsinore,3190,Dog,32
0,38,2020,Kiniski Gardens,6370,Cat,38
0,83,2019,Kildare,2400,Cat,83
0,8,2020,Bulyea Heights,5100,Cat,8
373,0,2019,Glastonbury,4720,Dog,373
309,0,2019,Brintnell,2110,Dog,309
58,0,2020,Ellerslie,6211,Dog,58
0,15,2020,Windsor Park,5580,Cat,15
1,0,2016,Glenwood,4180,Dog,1
33,0,2020,Belvedere,2080,Dog,33
48,0,2020,Canossa,3080,Dog,48
0,70,2020,Downtown,1090,Cat,70
225,0,2019,Ellerslie,6211,Dog,225
0,8,2020,Suder Greens,4730,Cat,8
0,104,2019,Allendale,5010,Cat,104
1,0,2018,Satoo,6680,Dog,1
408,0,2019,Dunluce,3180,Dog,408
0,1,2018,Beacon Heights,2040,Cat,1
0,4,2018,Rutherford,5454,Cat,4
51,0,2020,Gold Bar,6270,Dog,51
279,0,2019,Hazeldean,6290,Dog,279
1,0,2018,Pollard Meadows,6580,Dog,1
25,0,2020,Patricia Heights,4390,Dog,25
0,216,2019,King Edward Park,6360,Cat,216
4,0,2019,Edmonton South East,8886,Dog,4
76,0,2020,Parkview,3330,Dog,76
1,0,2018,Lynnwood,4280,Dog,1
0,10,2020,Beaumaris,3040,Cat,10
179,0,2019,Thorncliff,4560,Dog,179
0,1,2019,Youngstown Industrial,4660,Cat,1
0,5,2020,Baranow,3020,Cat,5
144,0,2019,Royal Gardens,5430,Dog,144
320,0,2019,Belmont,2070,Dog,320
34,0,2020,Rapperswill,3370,Dog,34
1,0,2018,Bannerman,2030,Dog,1
0,81,2019,Crystallina Nera West,2463,Cat,81
0,1,2018,Mayliewan,2511,Cat,1
0,67,2020,Summerside,6213,Cat,67
0,16,2019,Ebbers,2251,Cat,16
1,0,2020,Marquis,2671,Dog,1
0,136,2019,Aldergrove,4020,Cat,136
32,0,2020,Tamarack,6443,Dog,32
135,0,2019,Parkallen,5310,Dog,135
1,0,2018,York,2720,Dog,1
0,19,2020,Lendrum Place,5270,Cat,19
0,11,2020,Rhatigan Ridge,5350,Cat,11
1,0,2018,Ormsby Place,4380,Dog,1
36,0,2020,Balwin,2020,Dog,36
0,141,2019,Homesteader,2350,Cat,141
20,0,2020,Hawks Ridge,4473,Dog,20
263,0,2019,Ritchie,6610,Dog,263
339,0,2019,Twin Brooks,5511,Dog,339
56,0,2019,Rideau Park,5360,Dog,56
0,17,2020,Secord,4487,Cat,17
53,0,2020,Jamieson Place,4220,Dog,53
0,1,2018,Meyokumin,6460,Cat,1
0,77,2019,Suder Greens,4730,Cat,77
130,0,2019,High Park,4200,Dog,130
0,56,2019,Elmwood Park,1130,Cat,56
0,31,2019,Rideau Park,5360,Cat,31
0,4,2019,Stillwater,4468,Cat,4
0,113,2019,Lynnwood,4280,Cat,113
0,18,2020,Northmount,2580,Cat,18
445,0,2019,Windermere,5570,Dog,445
17,0,2020,Bellevue,2060,Dog,17
6,0,2019,River's Edge,4469,Dog,6
0,1,2020,Graydon Hill,5468,Cat,1
216,0,2019,Bulyea Heights,5100,Dog,216
0,106,2019,Central McDougall,1030,Cat,106
105,0,2019,McKernan,5290,Dog,105
10,0,2019,Kinokamau Plains Area,4475,Dog,10
2,0,2018,Britannia Youngstown,4060,Dog,2
17,0,2020,Westwood,1250,Dog,17
1,0,2018,Glenwood,4180,Dog,1
107,0,2019,Westwood,1250,Dog,107
0,67,2019,Woodcroft,3450,Cat,67
1,0,2017,Glastonbury,4720,Dog,1
2,0,2018,Oliver,1150,Dog,2
1,0,2018,Jasper Park,4230,Dog,1
0,59,2020,The Hamptons,4461,Cat,59
0,93,2019,Evergreen,2270,Cat,93
133,0,2019,Eaux Claires,2241,Dog,133
0,7,2019,Hays Ridge Area,5465,Cat,7
340,0,2019,Klarvatten,2440,Dog,340
0,122,2019,Pleasantview,5320,Cat,122
0,9,2020,Sifton Park,2710,Cat,9
0,41,2019,Baranow,3020,Cat,41
46,0,2020,Klarvatten,2440,Dog,46
0,44,2020,Kilkenny,2410,Cat,44
0,72,2019,Northmount,2580,Cat,72
176,0,2019,Laurel,6444,Dog,176
166,0,2019,Northmount,2580,Dog,166
0,62,2019,Charlesworth,6661,Cat,62
0,26,2019,Cloverdale,6070,Cat,26
85,0,2020,Ambleside,5505,Dog,85
0,123,2019,Boyle Street,1020,Cat,123
81,0,2019,Falconer Heights,5190,Dog,81
19,0,2020,Lendrum Place,5270,Dog,19
28,0,2020,Kildare,2400,Dog,28
167,0,2019,Suder Greens,4730,Dog,167
0,13,2020,Callingwood North,4070,Cat,13
6,0,2020,Virginia Park,1240,Dog,6
0,109,2019,Elmwood,4140,Cat,109
63,0,2020,Wellington,3430,Dog,63
1,0,2018,Kildare,2400,Dog,1
0,224,2019,Dunluce,3180,Cat,224
85,0,2020,Hollick-Kenyon,2340,Dog,85
0,11,2020,Summerlea,4520,Cat,11
0,20,2020,Fraser,2280,Cat,20
0,1,2018,Ritchie,6610,Cat,1
0,25,2020,Jamieson Place,4220,Cat,25
1,0,2018,Caernarvon,3060,Dog,1
28,0,2020,Lansdowne,5260,Dog,28
9,0,2020,Ogilvie Ridge,5300,Dog,9
0,29,2020,Blue Quill,5060,Cat,29
106,0,2019,West Jasper Place,4580,Dog,106
102,0,2019,Empire Park,5170,Dog,102
0,35,2020,Baturyn,3030,Cat,35
0,4,2020,Argyll,6010,Cat,4
0,102,2019,Maple Ridge,6410,Cat,102
3,0,2019,Southeast Industrial,6690,Dog,3
0,1,2018,Sherbrooke,3410,Cat,1
12,0,2020,Grandview Heights,5210,Dog,12
27,0,2020,Rosenthal,4750,Dog,27
0,15,2020,Jackson Heights,6330,Cat,15
1,0,2020,Papaschase Industrial,6560,Dog,1
0,198,2019,Calder,3070,Cat,198
0,136,2019,McConachie Area,2521,Cat,136
81,0,2020,South Terwillegar,5642,Dog,81
1,0,2018,Capilano,6061,Dog,1
29,0,2020,Charlesworth,6661,Dog,29
21,0,2020,Canon Ridge,2120,Dog,21
0,1,2019,Edmonton South East,8886,Cat,1
0,17,2020,Kenilworth,6350,Cat,17
163,0,2020,Summerside,6213,Dog,163
0,41,2020,Silver Berry,6442,Cat,41
0,10,2020,Chambery,3120,Cat,10
50,0,2020,Hillview,6300,Dog,50
239,0,2019,Kirkness,2430,Dog,239
0,24,2020,West Meadowlark Park,4590,Cat,24
61,0,2020,MacEwan,5452,Dog,61
0,2,2018,Evansdale,2260,Cat,2
21,0,2020,Terrace Heights,6730,Dog,21
0,40,2020,Inglewood,3240,Cat,40
0,9,2020,Tamarack,6443,Cat,9
0,5,2020,Rural North East Horse Hill,2670,Cat,5
271,0,2019,Sakaw,6670,Dog,271
0,44,2019,Windsor Park,5580,Cat,44
0,28,2019,Glenridding Heights,5578,Cat,28
107,0,2019,Bearspaw,5030,Dog,107
523,0,2019,Alberta Avenue,1010,Dog,523
41,0,2020,Minchau,6530,Dog,41
0,107,2019,Lauderdale,3260,Cat,107
1,0,2018,Baranow,3020,Dog,1
14,0,2020,Clareview Town Centre,2145,Dog,14
0,57,2019,Rapperswill,3370,Cat,57
0,83,2019,Idylwylde,6320,Cat,83
169,0,2019,Meyokumin,6460,Dog,169
0,16,2020,Belvedere,2080,Cat,16
37,0,2020,Bulyea Heights,5100,Dog,37
0,16,2020,Glengarry,2290,Cat,16
0,137,2019,Klarvatten,2440,Cat,137
0,494,2019,Oliver,1150,Cat,494
7,0,2020,Prince Rupert,1170,Dog,7
0,4,2019,Mistatim Industrial,4320,Cat,4
1,0,2018,Greenview,6280,Dog,1
39,0,2020,Potter Greens,4710,Dog,39
1,0,2020,Parsons Industrial,6570,Dog,1
2,0,2018,Belmead,4040,Dog,2
0,2,2020,Quesnell Heights,4420,Cat,2
0,11,2020,Webber Greens,4740,Cat,11
0,88,2019,Casselman,2130,Cat,88
1,0,2018,Northmount,2580,Dog,1
147,0,2019,Bergman,2090,Dog,147
2,0,2018,Bulyea Heights,5100,Dog,2
168,0,2019,Pleasantview,5320,Dog,168
193,0,2019,Lauderdale,3260,Dog,193
1,0,2020,Heritage Valley Town Centre Area,5464,Dog,1
33,0,2020,North Glenora,3310,Dog,33
2,0,2018,The Hamptons,4461,Dog,2
0,10,2020,Tawa,6720,Cat,10
1,0,2020,Mill Woods Town Centre,6520,Dog,1
304,0,2019,Strathcona,5480,Dog,304
1,0,2018,Hodgson,5620,Dog,1
2,0,2019,Garside Industrial,4170,Dog,2
0,2,2019,Graydon Hill,5468,Cat,2
231,0,2019,York,2720,Dog,231
170,0,2019,Matt Berry,2500,Dog,170
39,0,2020,Casselman,2130,Dog,39
0,34,2019,Maple,6441,Cat,34
0,53,2020,Lymburn,4270,Cat,53
3,0,2018,Holyrood,6310,Dog,3
88,0,2019,Argyll,6010,Dog,88
33,0,2020,Tweddle Place,6760,Dog,33
118,0,2019,Bellevue,2060,Dog,118
36,0,2020,Mayliewan,2511,Dog,36
0,123,2019,Ambleside,5505,Cat,123
0,28,2020,West Jasper Place,4580,Cat,28
1,0,2018,Casselman,2130,Dog,1
0,1,2020,Rosedale Industrial,6650,Cat,1
0,27,2019,Leger,5630,Cat,27
0,7,2020,Eaux Claires,2241,Cat,7
0,9,2020,Miller,2541,Cat,9
244,0,2019,Balwin,2020,Dog,244
0,23,2020,Lauderdale,3260,Cat,23
112,0,2019,Hodgson,5620,Dog,112
28,0,2020,Webber Greens,4740,Dog,28
0,12,2020,Ozerna,2600,Cat,12
31,0,2020,Blackmud Creek,5453,Dog,31
136,0,2019,Brander Gardens,5080,Dog,136
0,1,2020,Kennedale Industrial,2380,Cat,1
9,0,2019,Mistatim Industrial,4320,Dog,9
15,0,2020,Empire Park,5170,Dog,15
0,1,2018,Lauderdale,3260,Cat,1
0,31,2020,Parkview,3330,Cat,31
171,0,2019,Meyonohk,6470,Dog,171
0,14,2020,Skyrattler,5460,Cat,14
483,0,2019,Ottewell,6550,Dog,483
0,1,2018,Callingwood South,4080,Cat,1
41,0,2020,Lorelei,3280,Dog,41
0,5,2020,Bergman,2090,Cat,5
39,0,2020,Mayfield,4290,Dog,39
0,117,2019,Athlone,3010,Cat,117
37,0,2020,Ermineskin,5180,Dog,37
9,0,2020,Elmwood Park,1130,Dog,9
0,30,2019,Potter Greens,4710,Cat,30
204,0,2019,Lorelei,3280,Dog,204
142,0,2019,Rosenthal,4750,Dog,142
13,0,2019,Marquis,2671,Dog,13
98,0,2019,Boyle Street,1020,Dog,98
23,0,2020,Downtown,1090,Dog,23
0,1,2018,Westview Village,4620,Cat,1
0,6,2020,Maple,6441,Cat,6
0,23,2020,Carlisle,3090,Cat,23
3,0,2019,Wilson Industrial,4640,Dog,3
0,33,2020,Empire Park,5170,Cat,33
24,0,2020,Henderson Estates,5230,Dog,24
0,33,2020,Highlands,2330,Cat,33
0,87,2019,Ramsay Heights,5340,Cat,87
1,0,2016,Charlesworth,6661,Dog,1
52,0,2020,Beacon Heights,2040,Dog,52
30,0,2020,Magrath Heights,5476,Dog,30
0,92,2019,Pollard Meadows,6580,Cat,92
0,18,2020,Caernarvon,3060,Cat,18
40,0,2020,Delton,1080,Dog,40
0,207,2019,Kiniski Gardens,6370,Cat,207
0,35,2019,Magrath Heights,5476,Cat,35
231,0,2019,Athlone,3010,Dog,231
1,0,2019,Bonaventure Industrial,4050,Dog,1
0,24,2020,Newton,2560,Cat,24
107,0,2019,Aspen Gardens,5020,Dog,107
207,0,2019,Duggan,5160,Dog,207
52,0,2020,Carlton,3470,Dog,52
0,7,2020,Carter Crest,5130,Cat,7
0,40,2020,Wild Rose,6790,Cat,40
0,100,2019,Brintnell,2110,Cat,100
2,0,2018,Malmo Plains,5280,Dog,2
120,0,2019,Malmo Plains,5280,Dog,120
0,1,2020,Desrochers Area,5463,Cat,1
0,11,2020,Lansdowne,5260,Cat,11
0,121,2019,Killarney,2420,Cat,121
0,19,2020,Charlesworth,6661,Cat,19
59,0,2020,Secord,4487,Dog,59
0,14,2019,Ogilvie Ridge,5300,Cat,14
0,40,2019,Edgemont,4462,Cat,40
0,1,2018,Lorelei,3280,Cat,1
2,0,2020,University of Alberta Farm,5530,Dog,2
0,7,2020,Jasper Park,4230,Cat,7
213,0,2019,Greenview,6280,Dog,213
35,0,2020,Blue Quill,5060,Dog,35
0,1,2018,Terrace Heights,6730,Cat,1
53,0,2020,Kenilworth,6350,Dog,53
0,90,2019,Walker,6662,Cat,90
444,0,2019,Kiniski Gardens,6370,Dog,444
1,0,2018,Tamarack,6443,Dog,1
0,301,2019,Downtown,1090,Cat,301
20,0,2020,Prince Charles,3350,Dog,20
169,0,2019,Hairsine,2320,Dog,169
17,0,2020,Spruce Avenue,1230,Dog,17
292,0,2019,Fraser,2280,Dog,292
1,0,2018,La Perle,4240,Dog,1
4,0,2019,Davies Industrial East,6160,Dog,4
173,0,2019,Allard,5458,Dog,173
29,0,2019,Virginia Park,1240,Dog,29
26,0,2020,Bisset,6030,Dog,26
19,0,2020,Overlanders,2590,Dog,19
262,0,2019,Bonnie Doon,6040,Dog,262
0,1,2018,Twin Brooks,5511,Cat,1
0,14,2020,Blackmud Creek,5453,Cat,14
0,113,2019,Wellington,3430,Cat,113
247,0,2019,Secord,4487,Dog,247
0,100,2019,Avonmore,6020,Cat,100
6,0,2020,Stillwater,4468,Dog,6
0,22,2020,Brintnell,2110,Cat,22
40,0,2020,York,2720,Dog,40
0,64,2019,Laurier Heights,3270,Cat,64
0,26,2020,Beacon Heights,2040,Cat,26
0,66,2019,Tweddle Place,6760,Cat,66
3,0,2018,Kiniski Gardens,6370,Dog,3
144,0,2019,Canora,4090,Dog,144
46,0,2020,Chambery,3120,Dog,46
0,22,2020,Hillview,6300,Cat,22
261,0,2019,Larkspur,6390,Dog,261
0,55,2020,Westmount,3440,Cat,55
0,11,2020,Rapperswill,3370,Cat,11
0,113,2019,Glenora,3200,Cat,113
45,0,2019,Terra Losa,4540,Dog,45
3,0,2018,Hairsine,2320,Dog,3
73,0,2020,Twin Brooks,5511,Dog,73
0,45,2019,Aspen Gardens,5020,Cat,45
0,23,2020,Ellerslie,6211,Cat,23
29,0,2020,Parkallen,5310,Dog,29
155,0,2019,Ekota,6200,Dog,155
43,0,2020,Dovercourt,3170,Dog,43
0,6,2020,Prince Rupert,1170,Cat,6
3,0,2018,Alberta Avenue,1010,Dog,3
13,0,2019,Heritage Valley Town Centre Area,5464,Dog,13
151,0,2019,Keheewin,5250,Dog,151
20,0,2020,High Park,4200,Dog,20
4,0,2019,Hagmann Estate Industrial,3220,Dog,4
18,0,2020,Keheewin,5250,Dog,18
0,14,2020,Lorelei,3280,Cat,14
0,1,2019,West Sheffield Industrial,4600,Cat,1
